X1,sex,race,age_cat=25 to 45,age_cat=Greater than 45,age_cat=Less than 25,priors_count=0,priors_count=1 to 3,priors_count=More than 3,c_charge_degree=F,c_charge_degree=M,two_year_recid
0.7289944331524992,0,0,1,0,0,0,1,0,1,0,1
0.6205939536448803,0,0,0,0,1,1,0,0,1,0,0
0.12595716152213884,0,0,1,0,0,1,0,0,1,0,0
-1.0184467277078544,0,1,1,0,0,0,0,1,1,0,1
1.7459244447210405,0,0,0,0,1,1,0,0,1,0,0
1.142251393152219,0,0,1,0,0,0,0,1,1,0,0
1.0421160528445945,0,1,1,0,0,0,0,1,0,1,1
-0.08130709841618217,0,0,0,0,1,0,1,0,1,0,1
-1.3662183540460802,0,0,0,1,0,1,0,0,0,1,0
0.5455719209064697,0,0,1,0,0,0,1,0,1,0,0
-0.6156801366927429,0,1,0,0,1,0,1,0,1,0,0
0.19334983499901623,1,0,0,1,0,1,0,0,0,1,0
-0.485981029246677,0,0,1,0,0,0,0,1,1,0,0
0.9610541106908034,1,0,1,0,0,1,0,0,0,1,0
-0.5470159033389433,0,0,1,0,0,0,0,1,1,0,1
-1.2829311821076752,0,0,1,0,0,0,0,1,1,0,1
-1.0950582102924178,0,0,0,0,1,1,0,0,1,0,1
-0.6872053797696175,0,0,0,0,1,0,1,0,1,0,0
1.5644092722903942,0,0,0,1,0,0,1,0,1,0,0
0.5601948594910752,0,0,0,1,0,0,0,1,0,1,0
1.1130055159830081,0,0,0,0,1,1,0,0,1,0,0
-0.23325850370838683,0,1,1,0,0,0,1,0,1,0,0
1.2856197692751987,0,1,1,0,0,1,0,0,0,1,0
0.5856260570295194,0,0,0,0,1,0,1,0,1,0,1
-1.7448253073996696,0,1,1,0,0,1,0,0,1,0,0
0.7836715078601544,0,0,1,0,0,0,0,1,1,0,1
1.3240844555520956,1,0,1,0,0,1,0,0,0,1,0
-0.8909728500464024,0,0,0,0,1,1,0,0,1,0,0
-1.1716696928769814,1,0,1,0,0,0,0,1,1,0,1
1.4308954852135618,0,0,1,0,0,0,0,1,0,1,0
1.591747809644222,0,1,1,0,0,0,1,0,1,0,0
1.1527417621368272,0,0,1,0,0,0,1,0,1,0,0
-0.3610502713390694,1,0,1,0,0,0,1,0,0,1,1
-0.7746251213080197,1,0,1,0,0,0,1,0,1,0,0
-1.6094041805074537,0,0,1,0,0,0,0,1,1,0,1
1.3590523521674567,0,0,1,0,0,1,0,0,1,0,0
